Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
+	185	384435231	slr0612	SYNGTS_0002	-	-	hypothetical protein	937	1494	OF1
+	173	384435232	slr0613	SYNGTS_0003	-	-	hypothetical protein	1577	2098	OF2
-	233	384435233	sll0558	SYNGTS_0004	-	-	hypothetical protein	2172	2873	OR1
-	358	384435234	sll1214	SYNGTS_0005	-	-	magnesium-protoporphyrin IX monomethyl ester cyclase	3192	4268	OR1
-	312	384435235	sll1213	SYNGTS_0006	-	-	hypothetical protein	4451	5389	OR1
-	362	384435236	rfbD	SYNGTS_0007	-	-	GDP-D-mannose dehydratase	5534	6622	OR1
+	360	384435237	psbA2	SYNGTS_0008	-	-	photosystem II D1 protein	7229	8311	OF3
+	659	384435238	speA	SYNGTS_0009	-	-	arginine decarboxylase	8492	10471	OF4
-	669	384435239	ligA	SYNGTS_0010	-	-	NAD-dependent DNA ligase LigA	10622	12631	OR1
+	202	384435240	slr1315	SYNGTS_0011	-	-	hypothetical protein	12755	13363	OF5
+	343	384435241	fecC	SYNGTS_0012	-	-	iron(III) dicitrate transport system permeaseprotein	13498	14529	OF6
+	349	384435242	fecD	SYNGTS_0013	-	-	iron(III) dicitrate transport system permeaseprotein	14626	15675	OF7
+	268	384435243	fecE	SYNGTS_0014	-	-	iron(III) dicitrate transport system permeaseprotein	15937	16743	OF8
+	315	384435244	fecB	SYNGTS_0015	-	-	iron(III) dicitrate transport system permeaseprotein	16740	17687	OF8
-	851	384435245	iutA	SYNGTS_0016	-	-	ferric aerobactin receptor	17853	20408	OR1
-	326	384435246	pchR	SYNGTS_0017	-	-	regulatory protein PchR	20615	21595	OR1
-	427	384435247	sll1204	SYNGTS_0018	-	-	hypothetical protein	21838	23121	OR1
-	321	384435248	sll1203	SYNGTS_0019	-	-	hypothetical protein	23139	24104	OR1
-	347	384435249	sll1202	SYNGTS_0020	-	-	hypothetical protein	24101	25144	OR1
-	863	384435250	fhuA	SYNGTS_0021	-	-	ferrichrome-iron receptor	25266	27857	OR1
-	346	384435251	pcrR	SYNGTS_0022	-	-	regulatory protein PcrR	27990	29030	OR1
-	265	384435252	sll1407	SYNGTS_0023	-	-	hypothetical protein	29098	29895	OR1
-	828	384435253	fhuA	SYNGTS_0024	-	-	ferrichrome-iron receptor	29968	32454	OR1
-	142	384435254	sll1405	SYNGTS_0025	-	-	biopolymer transport ExbD protein	32524	32952	OR1
-	210	384435255	exbB	SYNGTS_0026	-	-	biopolymer transport ExbB protein	32912	33544	OR1
+	532	384435256	slr1484	SYNGTS_0027	-	-	hypothetical protein	33891	35489	OF8
+	349	384435257	slr1485	SYNGTS_0028	-	-	hypothetical protein	35566	36615	OF9
+	605	384435258	slr1488	SYNGTS_0029	-	-	ABC transporter	36721	38538	OF10
+	330	384435259	pchR	SYNGTS_0030	-	-	regulatory protein PchR	38644	39636	OF11
+	853	384435260	fhuA	SYNGTS_0031	-	-	ferrichrome-iron receptor	39802	42363	OF12
+	330	384435261	fecB	SYNGTS_0032	-	-	iron(III) dicitrate-binding periplasmic protein	42405	43397	OF12
+	311	384435262	fecB	SYNGTS_0033	-	-	iron(III) dicitrate-binding periplasmic protein	43571	44506	OF12
+	147	384435263	slr1493	SYNGTS_0034	-	-	hypothetical protein	44442	44885	OF12
+	613	384435264	slr1494	SYNGTS_0035	-	-	ABC transporter	44948	46789	OF12
-	336	384435265	sll1401	SYNGTS_0036	-	-	hypothetical protein	47007	48017	OR1
-	113	384435266	sll1400	SYNGTS_0037	-	-	hypothetical protein	48067	48408	OR1
-	76	384435267	ssl2733	SYNGTS_0038	-	-	hypothetical protein	48405	48635	OR1
-	401	384435268	sll1399	SYNGTS_0039	-	-	hypothetical protein	48663	49868	OR1
-	112	384435269	psbW	SYNGTS_0040	-	-	photosystem II 13 kD protein Psb28	49893	50231	OR1
