Contig	Source	Type	Pos_Start	Pos_End	Strand	Locus_Tag	Product	Predicted_Operon
HCP21_748_	img_mer_v340	CDS	3	146	-	HCP21_00000020	hypothetical protein	HCP21_748_-R1
HCP21_5716	img_mer_v340	CDS	41	313	-	HCP21_00000030	Translation initiation factor 6 (eIF-6)	HCP21_5716-R1
HCP21_5491	img_mer_v340	CDS	232	309	-	HCP21_00000040	hypothetical protein	HCP21_5491-R1
HCP21_5089	img_mer_v340	CDS	81	530	+	HCP21_00000050	hypothetical protein	HCP21_5089-F1
HCP21_5196	img_mer_v340	CDS	1	312	+	HCP21_00000060	hypothetical protein	HCP21_5196-F1
HCP21_6312	img_mer_v340	CDS	89	592	-	HCP21_00000070	hypothetical protein	HCP21_6312-R1
HCP21_10684	img_mer_v340	CDS	77	361	+	HCP21_00000080	hypothetical protein	HCP21_10684-F1
HCP21_9072	img_mer_v340	CDS	3	320	+	HCP21_00000090	hypothetical protein	HCP21_9072-F1
HCP21_3159	img_mer_v340	CDS	58	879	-	HCP21_00000100	GTPase-activating protein	HCP21_3159-R1
HCP21_3188	img_mer_v340	CDS	19	474	+	HCP21_00000110	WD domain, G-beta repeat.	HCP21_3188-F1
HCP21_6792	img_mer_v340	CDS	2	718	+	HCP21_00000120	hypothetical protein	HCP21_6792-F1
HCP21_267_	img_mer_v340	CDS	253	312	+	HCP21_00000130	hypothetical protein	HCP21_267_-F1
HCP21_2940	img_mer_v340	CDS	1	159	-	HCP21_00000140	hypothetical protein	HCP21_2940-R1
HCP21_2940	img_mer_v340	CDS	192	371	-	HCP21_00000150	hypothetical protein	HCP21_2940-R1
HCP21_3816	img_mer_v340	CDS	12	347	+	HCP21_00000160	hypothetical protein	HCP21_3816-F1
HCP21_7879	img_mer_v340	CDS	19	315	-	HCP21_00000170	hypothetical protein	HCP21_7879-R1
HCP21_2284	img_mer_v340	CDS	3	320	-	HCP21_00000180	hypothetical protein	HCP21_2284-R1
HCP21_873_	img_mer_v340	CDS	3	296	+	HCP21_00000190	hypothetical protein	HCP21_873_-F1
HCP21_954_	img_mer_v340	CDS	2	382	-	HCP21_00000200	hypothetical protein	HCP21_954_-R1
HCP21_4103	img_mer_v340	CDS	2	454	+	HCP21_00000210	hypothetical protein	HCP21_4103-F1
HCP21_2_11864	img_mer_v340	CDS	90	191	+	HCP21_00000220	hypothetical protein	HCP21_2_11864-F1
HCP21_2_42524	img_mer_v340	CDS	1	111	+	HCP21_00000230	Molydopterin dinucleotide binding domain.	HCP21_2_42524-F1
HCP21_2_45524	img_mer_v340	CDS	1	126	+	HCP21_00000240	hypothetical protein	HCP21_2_45524-F1
HCP21_2_52024	img_mer_v340	CDS	2	178	+	HCP21_00000250	hypothetical protein	HCP21_2_52024-F1
HCP21_2_54024	img_mer_v340	CDS	2	208	+	HCP21_00000260	Serine/threonine protein kinase	HCP21_2_54024-F1
HCP21_2_57910	img_mer_v340	CDS	3	100	-	HCP21_00000270	Peptidase family U32.	HCP21_2_57910-R1
HCP21_2_61910	img_mer_v340	CDS	4	120	+	HCP21_00000280	hypothetical protein	HCP21_2_61910-F1
HCP21_2_66910	img_mer_v340	CDS	3	173	-	HCP21_00000290	Protein kinase domain.	HCP21_2_66910-R1
HCP21_2_70053	img_mer_v340	CDS	1	102	+	HCP21_00000300	Uncharacterized protein related to glutamine synthetase	HCP21_2_70053-F1
HCP21_2_70553	img_mer_v340	CDS	3	104	-	HCP21_00000310	Beige/BEACH domain.	HCP21_2_70553-R1
HCP21_2_73553	img_mer_v340	CDS	3	109	-	HCP21_00000320	Formin Homology 2 Domain.	HCP21_2_73553-R1
HCP21_2_79053	img_mer_v340	CDS	73	171	-	HCP21_00000330	Cell cycle control protein	HCP21_2_79053-R1
HCP21_2_79553	img_mer_v340	CDS	2	180	-	HCP21_00000340	Protease subunit of ATP-dependent Clp proteases	HCP21_2_79553-R1
