Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
+	446	16077069	dnaA	BSU00010	-	COG0593L	chromosome replication initiator DnaA	410	1750	OF1
+	378	16077070	dnaN	BSU00020	-	COG0592L	DNA polymerase III subunit beta	1939	3075	OF2
+	71	16077071	yaaA	BSU00030	-	COG2501S	RNA binding protein	3206	3421	OF3
+	370	16077072	recF	BSU00040	-	COG1195L	recombination protein F	3437	4549	OF3
+	81	255767014	yaaB	BSU00050	-	-	hypothetical protein	4567	4812	OF3
+	638	16077074	gyrB	BSU00060	-	COG0187L	DNA gyrase subunit B	4867	6783	OF3
+	821	16077075	gyrA	BSU00070	-	COG0188L	DNA gyrase subunit A	6994	9459	OF4
-	315	16077076	yaaC	BSU00080	-	-	hypothetical protein	14847	15794	OR1
+	488	16077077	guaB	BSU00090	-	COG0516F	inosine 5'-monophosphate dehydrogenase	15915	17381	OF5
+	443	16077078	dacA	BSU00100	-	COG1686M	D-alanyl-D-alanine carboxypeptidase	17534	18865	OF6
+	294	16077079	yaaD	BSU00110	-	COG0214H	pyridoxal biosynthesis lyase PdxS	19062	19946	OF7
+	196	16077080	yaaE	BSU00120	-	COG0311H	glutamine amidotransferase subunit PdxT	19968	20558	OF7
+	425	16077081	serS	BSU00130	-	COG0172J	seryl-tRNA synthetase	20880	22157	OF7
-	217	16077082	dck	BSU00140	-	COG1428F	deoxyadenosine/deoxycytidine kinase	22496	23149	OR1
-	207	16077083	dgk	BSU00150	-	COG1428F	deoxyguanosine kinase	23146	23769	OR1
-	427	16077084	yaaH	BSU00160	-	COG3858R	spore peptidoglycan hydrolase	23868	25151	OR1
-	181	16077085	yaaI	BSU00170	-	COG1335Q	isochorismatase	25221	25766	OR1
+	161	16077086	tadA	BSU00180	-	COG0590FJ	tRNA specific adenosine deaminase	25852	26337	OF8
+	563	255767015	dnaX	BSU00190	-	COG2812L	DNA polymerase III subunits gamma and tau	26814	28505	OF9
+	107	16077088	yaaK	BSU00200	-	COG0718S	hypothetical protein	28529	28852	OF9
+	198	16077089	recR	BSU00210	-	COG0353L	recombination protein RecR	28867	29463	OF9
+	74	16077090	yaaL	BSU00220	-	-	hypothetical protein	29481	29705	OF9
+	87	255767016	bofA	BSU00230	-	-	inhibitor of the pro-sigma(K) processing machinery	29772	30035	OF9
+	64	16077092	csfB	BSU00240	-	-	forespore-specific protein	35531	35725	OF10
+	204	16077093	xpaC	BSU00250	-	COG4915R	phosphatase	35845	36459	OF11
+	386	16077094	yaaN	BSU00260	-	COG3853P	hypothetical protein	36478	37638	OF11
+	480	16077095	yaaO	BSU00270	-	COG1982E	lysine decarboxylase	37720	39162	OF11
+	212	255767017	tmk	BSU00280	-	COG0125F	thymidylate kinase	39159	39797	OF11
+	109	16077097	yaaQ	BSU00290	-	COG3870S	hypothetical protein	39871	40200	OF11
+	146	16077098	yaaR	BSU00300	-	COG1728S	hypothetical protein	40213	40653	OF11
+	329	16077099	holB	BSU00310	-	COG0470L	DNA polymerase III subunit delta'	40665	41654	OF11
+	275	16077100	yaaT	BSU00320	-	COG1774S	hypothetical protein	41657	42484	OF11
+	119	16077101	yabA	BSU00330	-	COG4467S	DNA replication intiation control protein YabA	42499	42858	OF11
+	247	16077102	yabB	BSU00340	-	COG4123R	methyltransferase	42917	43660	OF11
+	99	16077103	yazA	BSU00350	-	COG2827L	GIY-YIG nuclease superfamily protein	43647	43946	OF11
+	292	16077104	yabC	BSU00360	-	COG0313R	methyltransferase	43921	44799	OF11
-	96	16077105	abrB	BSU00370	-	COG2002K	transcriptional regulator	44848	45138	OR1
+	664	16077106	metS	BSU00380	-	COG0143J	methionyl-tRNA synthetase	45633	47627	OF11
+	255	16077107	yabD	BSU00390	-	COG0084L	metal-dependent DNase	47706	48473	OF12
+	437	16077108	yabE	BSU00400	-	COG3583S	cell wall shaping enzyme	48629	49942	OF13
+	186	16077109	rnmV	BSU00410	-	COG1658L	ribonuclease M5	50087	50647	OF14
+	292	16077110	ksgA	BSU00420	-	COG0030J	dimethyladenosine transferase	50640	51518	OF14
+	290	16077111	yabG	BSU00430	-	-	sporulation-specific protease	51680	52552	OF14
+	86	16077112	veg	BSU00440	-	COG4466S	hypothetical protein	52763	53023	OF15
+	61	16077113	sspF	BSU00450	-	-	small acid-soluble spore protein	53183	53368	OF16
+	289	16077114	ipk	BSU00460	-	COG1947I	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	53516	54385	OF17
+	285	16077115	purR	BSU00470	-	COG0503F	pur operon repressor	54441	55298	OF18
+	125	16077116	yabJ	BSU00480	-	COG0251J	hypothetical protein	55295	55672	OF18
+	97	16077117	spoVG	BSU00490	-	COG2088M	regulatory protein SpoVG	55866	56159	OF18
+	456	16077118	glmU	BSU00500	-	COG1207M	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	56352	57722	OF19
+	317	16077119	prs	BSU00510	-	COG0462FE	ribose-phosphate pyrophosphokinase	57745	58698	OF19
+	204	16077120	ctc	BSU00520	-	COG1825J	50S ribosomal protein L25	58783	59397	OF19
+	188	16077121	pth	BSU00530	-	COG0193J	peptidyl-tRNA hydrolase	59504	60070	OF20
+	76	16077122	yabK	BSU00540	-	-	hypothetical protein	60130	60360	OF21
