Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
+	401	15789341	-	VNG0001H	-	COG1361M	hypothetical protein	248	1453	OF1
+	221	15789342	yvrO	VNG0002G	-	COG1136V	amino acid ABC transporter ATP-binding protein	1450	2115	OF1
+	369	15789343	-	VNG0003C	-	COG4591M	hypothetical protein	2145	3254	OF1
+	773	15789344	-	VNG0005H	-	COG1287R	hypothetical protein	3322	5643	OF1
-	601	15789345	glmS	VNG0006G	-	COG0449M	glucosamine--fructose-6-phosphate aminotransferase	5646	7451	OR1
-	395	15789346	graD5	VNG0008G	-	COG1208MJ	glucose-1-phosphate thymidylyltransferase	7454	8641	OR1
-	401	15789347	graD2	VNG0009G	-	COG1208MJ	glucose-1-phosphate thymidylyltransferase	8655	9860	OR1
+	477	15789348	-	VNG0011C	-	COG2148M	hypothetical protein	9980	11413	OF2
-	378	15789349	-	VNG0013C	-	COG0675L	hypothetical protein	11478	12614	OR1
+	69	15789350	-	VNG0014C	-	COG0065E	hypothetical protein	12978	13187	OF3
-	60	15789351	-	VNG0015H	-	-	hypothetical protein	13462	13644	OR1
-	123	15789352	-	VNG0016H	-	COG2524K	hypothetical protein	13809	14180	OR1
+	98	15789353	-	VNG0017H	-	-	hypothetical protein	14484	14780	OF4
+	87	15789354	-	VNG0018H	-	-	hypothetical protein	14868	15131	OF5
+	32	15789355	-	VNG0019H	-	-	hypothetical protein	15310	15408	OF6
-	210	15789356	-	VNG0020H	-	-	hypothetical protein	15419	16051	OR1
+	454	15789357	-	VNG0021H	-	COG3436L	hypothetical protein	16342	17706	OF7
+	181	15789358	-	VNG0022H	-	-	hypothetical protein	18357	18902	OF8
+	211	15789359	-	VNG0023H	-	-	hypothetical protein	18895	19530	OF8
-	106	15789360	-	VNG0024H	-	-	hypothetical protein	19703	20023	OR1
-	87	15789361	-	VNG0025H	-	-	hypothetical protein	20219	20482	OR1
-	307	15789362	-	VNG0026C	-	COG0675L	hypothetical protein	20533	21456	OR1
-	215	15789363	-	VNG0027H	-	-	hypothetical protein	22103	22750	OR1
+	184	15789364	-	VNG0028C	-	COG3415L	hypothetical protein	23336	23890	OF8
-	151	15789365	-	VNG0029H	-	-	hypothetical protein	24109	24564	OR1
+	131	15789366	-	VNG0030H	-	-	hypothetical protein	26201	26596	OF9
+	786	15789367	-	VNG0031H	-	-	hypothetical protein	26648	29008	OF10
+	127	15789368	-	VNG0032H	-	-	hypothetical protein	29046	29429	OF10
-	145	15789369	-	VNG0033H	-	-	hypothetical protein	29476	29913	OR1
-	33	15789370	-	VNG0034H	-	-	hypothetical protein	29913	30014	OR1
-	270	15789371	-	VNG0035H	-	COG3039L	hypothetical protein	30356	31168	OR1
+	82	15789372	-	VNG0037H	-	COG1598S	hypothetical protein	31838	32086	OF10
+	84	15789373	-	VNG0038H	-	COG1724N	hypothetical protein	32101	32355	OF10
-	111	15789374	-	VNG0039H	-	COG1497K	hypothetical protein	32555	32890	OR1
-	148	15789375	-	VNG0040C	-	COG4190K	hypothetical protein	33182	33628	OR1
-	101	15789376	-	VNG0041C	-	-	hypothetical protein	33610	33915	OR1
-	426	15789377	ntp	VNG0042G	-	COG0675L	transposase	34651	35931	OR1
+	130	15789378	-	VNG0043H	-	COG1943L	hypothetical protein	36321	36713	OF10
+	418	15789379	-	VNG0044H	-	COG0675L	hypothetical protein	36715	37971	OF10
+	471	15789380	-	VNG0045C	-	COG1474LO	hypothetical protein	38017	39432	OF10
-	430	15789381	ugd	VNG0046G	-	COG1004M	UDP-glucose dehydrogenase	39611	40903	OR1
+	242	16554457	graD6	VNG0047Gm	-	COG1209M	dTDP-glucose pyrophosphorylase	40991	41719	OF10
+	259	15789383	-	VNG0049H	-	COG3897R	hypothetical protein	41880	42659	OF11
+	480	15789384	-	VNG0050C	-	COG2244R	hypothetical protein	42707	44149	OF11
-	403	15789385	rfbU1	VNG0051G	-	COG0438M	LPS biosynthesis protein	44245	45456	OR1
-	424	15789386	-	VNG0052H	-	COG3385L	hypothetical protein	47199	48473	OR1
+	151	15789387	-	VNG0053H	-	-	hypothetical protein	48767	49222	OF11
-	206	15789388	-	VNG0054H	-	-	hypothetical protein	49352	49972	OR1
+	88	15789389	-	VNG0055H	-	-	hypothetical protein	49985	50251	OF12
